title,text
Bone fragments found in Mexico to be tested for DNA links,"Mexican authorities said on Tuesday they will aim to identify some 3,000 bone fragments, apparently human, found at the weekend in the northern state of Coahuila, where organized crime has been blamed for the loss of thousands of lives.  State prosecutors said they were sending the remains to a genetic laboratory to assess whether they could be linked to people who have disappeared. According to government data, nearly 18,600 people have disappeared since President Enrique Pena Nieto took office in December 2012. In November, he signed into law a national commission dedicated to finding people who have disappeared. It will add some 469 million pesos ($25 million) to fund search efforts in its first stage. Gang violence has claimed more than 100,000 lives over the past decade and authorities are often unable to identify bodies found in mass graves. VIDA, a Coahuila-based group representing 77 people whose relatives have gone missing, found the fragments in a field on Saturday after a tip-off about the location. The group, accompanied by prosecutors, experts and members of the military, also found a metal barrel, gun casings, two buttons and a buckle. VIDA spokeswoman Silvia Ortiz said similar previous discoveries indicated that victims  bodies had been dismembered and burned for hours before the bones were broken apart with shovels. State prosecutors said they could not yet determine how many people the bones belonged to, according to a spokesman."
BREAKING: OBAMA SUCCESSFULLY WHITEWASHES AMERICAN HISTORY…”Racist” President Andrew Jackson To Be Replaced With Harriet Tubman On $20 Bill,"The irony in Obama s radical Treasury Secretary s decision to remove  racist  Andrew Jackson from the $20 bill, lies in the fact that Jackson was the first Democrat to be elected President. Rabid Bernie Sanders supporters are hell-bent on seeing Bernie Sanders fulfill his promise of breaking up the big bank monopolies. Andrew Jackson was pioneer in staving off banking domination in his day.But alas it s official .Moments ago Politico reported that the U.S. Treasury will announce that it plans to replace former President Andrew Jackson on the $20 bill with Harriet Tubman, the sources said. There will also be changes to the $5 bill to depict civil rights era leaders.Not every dead president is being scraped however: treasury Secretary Jack Lew on Wednesday will announce a decision to keep Alexander Hamilton on the front of the $10 bill and put leaders of the movement to give women the right to vote on the back of the bill.Lew s decision comes after he announced last summer that he was considering replacing Hamilton on the $10 bill with a woman. The announcement drew swift rebukes from fans of Hamilton, who helped create the Treasury Department and the modern American financial system. Critics immediately suggested Hamilton take Jackson off the $20 bill given the former president s role in moving native Americans off their land.Jackson may remain on the $20 bill in some capacity, but will clearly be demoted.While some pointed to the many accomplishments and qualities of Hamilton for why he should stay on the currency printed by the very Treasury the man created, the more popular argument for the Founding Father s retention was an argument about how awful the man on the $20 dollar bill was.The Daily Beast described Jackson as  villainous  and linked to a February article that called him a  mass murderer. The New York Post argued that Old Hickory  may well have been our most racist president  and was a  vicious, power-mad kook. Lew told POLITICO last July that Treasury was exploring ways to respond to critics.  There are a number of options of how we can resolve this,  Lew said.  We re not taking Alexander Hamilton off our currency. Confused? Disturbed? Angry? You are not alone. The following rant by Mac Slavo expressed many feeling about the proposed change.Andrew Jackson, Who Fought Central Bank, Removed from $20 As  Public Concern for Liberty  ErasedJackson narrowly succeeded in staving off banker domination of the U.S. during his day.Of course, Andrew Jackson, who was the United States  seventh president, was also a complete controversy his entire lifetime. It is no surprise that the same people who took down the Confederate flag from the South on the back of a mass shooting tragedy are now trying to tear down the image of a particularly controversial and intriguing figure from the American past.Jackson was a recalcitrant and unyielding general and war hero, and later an outsider riding a wave of populist support into the White House, bringing in sometimes unscrupulous companions, and plenty of Masons. Many of his backers were diametrically opposed to the entrenched power of New York bankers and speculators, as well as patrician politicians who dominated the first phase of politics in the nation s history. Jackson played a nasty role in the Trail of Tears affairs with Indians, too, and with the South and Western expansion of slave-friendly territories. Many shades of grey.Erasing Andrew Jackson from the faces of the fiat funny-money that is passed around by an increasingly ignorant and dependent society (which itself has adopted digital currency as the new norm) will further cut off the past from the masses, and ensure their enslavement.For entire story: Zero Hedge"
Indonesia passes law to ban organizations deemed against its ideology,"Around 1,000 Indonesians, led by hardline Islamist groups, protested outside parliament on Tuesday as lawmakers approved a presidential decree banning any civil organizations deemed to go against the country s secular state ideology. Tuesday s approval puts into law a policy President Joko Widodo set in a decree in July. The policy was aimed at containing hardline groups who have cast a shadow over the long-standing reputation for religious tolerance in the world s largest Muslim-majority nation.      We have seen mass organizations that are against the Pancasila (state ideology) and have created social conflict,  said Arya Bima, a lawmaker in favour of the policy.  This law doesn t impede freedom of organization or assembly, it strengthens it.   In late 2016 and early this year, groups such as Hizb-ut Tahrir Indonesia (HTI) and the Islamic Defenders Front (FPI), which call for Islamic law to be imposed in Indonesia, led mass street rallies attacking Jakarta s governor, a Christian, whom they accused of insulting Islam.  Basuki Tjahaja Purnama, who in April lost an election to get a new term, was jailed one month later after being convicted of blasphemy, in a court ruling widely criticized in Indonesia and overseas as unjust.  The presidential decree Widodo signed in July ordered the disbanding of all organizations deemed to be in conflict with the secular state ideology. HTI, which seeks to establish an Islamic caliphate, was the first organization to be disbanded under the policy. Pancasila or  five principles  is Indonesia s state ideology, which includes belief in god, the unity of the country, social justice and democracy, and which enshrines religious diversity in an officially secular system. Under the new law, anyone who  embraces, develops of spreads ideology that is in conflict with the (state ideology) Pancasila  can face imprisonment of six months to life, according to a copy of the draft law reviewed by Reuters. Rights activists and civil organizations have decried the move, saying it harks back to the era of authoritarian ruler Suharto, who demanded loyalty to Pancasila and took repressive measures against some opponents. Opposition lawmaker Al Muzamil Yusuf said the new law could  violate democratic rights and remove checks and balances on the government .     During the protest outside parliament on Tuesday, around 5,200 police and military personnel stood guard around the complex in central Jakarta.  A hashtag supporting Widodo s policy was a top trending topic on Indonesian Twitter.  This policy is not about (Widodo) or any political party, it s about safeguarding the unity of the country,  said user @Senopati."
Trump ally Stone offers to testify in Russian meddling probe,"Roger Stone, a longtime ally of President Donald Trump, said on Sunday he has offered to testify before a congressional committee investigating possible Russian meddling in the 2016 presidential election and ties to the Trump campaign. Stone, an informal adviser to Trump, told ABC’s “This Week” he had not received a reply from the House of Representatives intelligence committee on his offer of public testimony. Along with former Trump campaign manager Paul Manafort, who has also offered to appear before the panel, Stone was among the Trump associates whose communications and financial transactions were being examined by the FBI and others as part of a larger investigation into possible links with Russian officials, according to a Jan. 20 report in the New York Times. Without citing any names, FBI Director James Comey confirmed at the committee’s public hearing last week that the FBI was investigating possible Russian ties to Trump’s campaign as Moscow sought to influence the 2016 election. Stone said he was anxious to testify in public. “I reiterate again, I have had no contacts or collusions with the Russians,” he told ABC, adding later, “There is no collusion, none, at least none that I know about, in Donald Trump’s campaign for president.”   At Monday’s intelligence committee hearing, Adam Schiff, the top Democrat on the panel, cited concern over Stone’s communications with WikiLeaks founder Julian Assange and Guccifer 2, who claimed responsibility for hacking the Democratic groups. Stone said he had spoken to Assange through an intermediary and to Guccifer on Twitter in an exchange he made public. Stone also cast doubt on whether Guccifer was a Russian agent. “Just because the intelligence services say something, as we know from history, does not make it true,” he said, reflecting the doubts that Trump himself has sown about U.S. spy agencies. Carter Page, another Trump campaign adviser whose contacts with Russians were mentioned by Schiff at Monday’s hearing, also has offered to appear before the committee, according to multiple media reports. The U.S. intelligence community has concluded that Russia sponsored the hacking of Democratic Party groups during the 2016 campaign to benefit Republican Trump over Democrat Hillary Clinton. Russia has denied the allegations of meddling. Trump has dismissed the idea of any coordination between his campaign and Russia and has accused Democrats and the media of using the issue to attack him. The House committee investigation was marred on Wednesday after its Republican chairman, Representative Devin Nunes, announced to the public and briefed Trump that U.S. intelligence may have swept up communications by Trump associates before telling the committee. Nunes apologized to the intelligence panel the next day. However, he further alienated Democrats on the committee on Friday when he canceled a hearing with intelligence officials from former Democratic President Barack Obama’s administration in order to have a classified briefing with the directors of the National Security Agency and Federal Bureau of Investigation. The committee’s top Democrat, Adam Schiff, suggested the cancellation came after pressure from the White House. Schiff and other Democrats said last week’s actions raised more doubts about whether Nunes, a Trump ally who served on the president’s transition team, can conduct a credible investigation. “I think the chairman has to make a decision whether to act as a surrogate of the White House as he did during the campaign and the transition or to lead an independent and credible, investigation,” Schiff told CBS’ “Face the Nation.”"
New Poll EMBARRASSES The Hell Out Of Trump – He Lost To More Than Hillary,"While Trump crows about all the unscientific, self-selecting online polls that were rigged by his followers, the scientific polls with credibility are telling a very different post-debate story. One particular poll, which NBC conducted starting from the end of the debate on Sept. 26 into Sept. 27, shows Trump did so poorly that more people said neither candidate won than said Trump won.According to that poll, 52 percent of likely voters said Hillary won. 21 percent said Trump won, and 26 percent said neither candidate won.Image via NBC NewsOuch. Ouch ouch ouch. For someone who was only able to speak for 38 percent of the time, compared to Trump s 62 percent (and constant  Just shut up because I am God  interruptions), poll numbers like that are pretty astonishing.It s about as bad as when candidates finish worse than  none of these candidates  at the ballot box. Basically, there is nobody except the Trumpkins who believes Trump did anything of value Monday night. Furthermore, just 26 percent of Republican respondents said that the debate changed their opinion of Trump for the better. That s a pretty sorry number compared to 50 percent of Democratic respondents saying their opinion of Hillary changed for the better.Some Republican lawmakers on Capitol Hill were disappointed in Trump and his performance, too. They wanted him to attack Hillary over the dead horse of an email scandal they re so sure makes her unfit to lead the country, and he didn t. Others, however, were frustrated with his inability to put forth succinct talking points: I wish that he d say something, stick with it, and then move on to something else instead of saying the same thing over and over and over,  [Arizona Rep. Matt] Salmon said in an interview Tuesday without giving specific examples.  It was just throughout the entire debate.' Anyone who tries to read a complete transcript of the debate will have the same frustration, if not worse. Trump literally cannot stick to the point, rambles on, talks in circles, etc., and Hillary wiped the floor with him in part because of that. The rest of it   well, she s eminently qualified and he isn t, and she proved it.The NBC poll was conducted online among a sample of 7,541 likely voters, culled from the 3 million adults who take surveys on SurveyMonkey every day. The margin of error is 1.6 percent, so Trump isn t even tied with  neither,  for second place. He finished dead last.Featured image by Drew Angerer/Getty Images"
Politico Drops The Mic On Trump’s Request For Magazine Covers Featuring His Face,"Earlier this week, Trump tried to stroke his vanity to maximum advantage by asking Politico for copies of their magazine that feature his face on the cover, because, you know, he s important and everyone must be reminded of that at all possible moments. Politico is one of many media outlets that Trump has banned from his events, though, and they are understandably unhappy about it. Nevertheless, they did as Trump bade, but with a stunning reply accompanying the magazines.National editor Kristin Roberts sent him a pointed note with the magazines, which do have an illustration of Trump on the front. She said: We are happy to provide Mr. Trump and his team with the POLITICO magazines that you requested.We hope Mr. Trump enjoys reading it in his spare time. In the spirit of open communication, perhaps this would be an appropriate time to ask when you will deliver to our reporters the credentials that we have requested for his many events. I know they would greatly appreciate it. Politico just dropped the mic here. It s almost a shame they couldn t do this onstage or on television, where they could literally drop the mic, because that s the only way this would be more perfect.It s not very clear why Trump banned Politico from his events, but some suspect it has something to do with unfavorable coverage of his former campaign manager, Corey Lewandowski. Trump and his campaign have actually banned several outlets from their events, and individual reporters from many more, because they aren t stroking his ego enough to make it grow.The Politico cover in question could be seen as portraying Trump in a poor light, or as flattering, depending on how one looks at it:A photo posted by Tracie Ching (@tracieching) on Jul 18, 2016 at 8:11am PDTNobody can accuse Politico of pandering to Trump, though, and a quick Google search,  Trump + Politico,  reveals all the horrible, evil, nasty things they ve said about him. Trump hasn t tweeted about this, and it doesn t seem he s made a statement about it either, so he can t be too upset yet.Or maybe he s just too busy calling Hillary  Crooked Hillary,  and accusing her of rigging the debates to care right now. Still, Politico got him good.Featured image by Gustavo Caballero/Getty Images"
WATCH: Rachel Maddow OBLITERATES Kellyanne Conway Over Trump’s Call For More Nukes,"Rachel Maddow just pounded Kellyanne Conway, Donald Trump s former campaign manager and soon-to-be White House counselor, into the ground over the president-elect s call for more nuclear weapons.The MSNBC host confronted Conway with Trump s repeated suggestions that the world needs more nukes. Conway wriggled and squirmed to try to put a positive twist on Trump s calls for expanding nuclear capabilities, but Maddow was not having it. Trump s professional spin doctor even tried to claim that Trump hadn t really suggested that we should have more nuclear weapons at all.News flash, he absolutely did. On Thursday morning, which is just the most recent instance of his thirst for more nuclear weapons, Trump posted this little gem to his Twitter page for all his followers to see.The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes  Donald J. Trump (@realDonaldTrump) December 22, 2016Maddow completely shut Conway down when she tried to argue that Trump s Twitter rants aren t actually him setting official policy. The president making policy happens whenever the president speaks on a national security matter,  Maddo pointed out.Conway may be good at twisting the truth but she utterly failed tonight when she tried to make Trump s insistence that we need more nukes look like anything other than the terrifying invitation for global disaster that it is.Watch Maddow shut Conway down when it comes to Trump s calls for more nuclear weapons, here:Maddow: The president making policy happens whenever the president speaks on a national security matter. https://t.co/Dd7sd2TZnc  Maddow Blog (@MaddowBlog) December 23, 2016Featured image via video screen capture"
Top Senate Democrat cites civil rights concerns with Trump pick Sessions,"Incoming U.S. Senate Democratic Leader Chuck Schumer on Friday said he is “very concerned” about Republican U.S. President-elect Donald Trump’s selection of Senator Jeff Sessions as attorney general and indicated there would be tough questioning in the chamber’s confirmation process. “Given some of his past statements and his staunch opposition to immigration reform, I am very concerned about what he would do with the Civil Rights Division at the Department of Justice and want to hear what he has to say,” Schumer said in a statement."
CLINTON COVERUP: WHY WAS MAJOR CLINTON CRONY Put On Sensitive Intelligence Board? [Video],"Thank goodness for organizations like citizens United who found out what was going on with a Clinton donor getting a position on a Security Intelligence Board with ZERO experience. Please note the video below and how the reporter was to be arrested for asking a question of the Clinton crony. Newly released State Department emails help reveal how a major Clinton Foundation donor was placed on a sensitive government intelligence advisory board even though he had no obvious experience in the field, a decision that appeared to baffle the department s professional staff.The emails further reveal how, after inquiries from ABC News, the Clinton staff sought to  protect the name  of the Secretary,  stall  the ABC News reporter and ultimately accept the resignation of the donor just two days later.Copies of dozens of internal emails were provided to ABC News by the conservative political group Citizens United, which obtained them under the Freedom of Information Act after more the two years of litigation with the government.A prolific fundraiser for Democratic candidates and contributor to the Clinton Foundation, who later traveled with Bill Clinton on a trip to Africa, Rajiv K. Fernando s only known qualification for a seat on the International Security Advisory Board (ISAB) was his technological know-how. The Chicago securities trader, who specialized in electronic investing, sat alongside an august collection of nuclear scientists, former cabinet secretaries and members of Congress to advise Hillary Clinton on the use of tactical nuclear weapons and on other crucial arms control issues. Read more: Live Leak"
Cuba breaks up weekly dissident march hours before Obama visit,"Cuban police backed by hundreds of shouting pro-government demonstrators broke up a march by the dissident group Ladies in White on Sunday, detaining about 50 people hours before U.S. President Barack Obama was due for a historic visit.  The women and their male supporters carried out their normal Sunday demonstration calling for free speech and amnesty for political prisoners after attending Roman Catholic Mass in an upscale neighborhood. A similar but less intense scene plays out every Sunday. This one was much more raucous, with a larger-than-normal crowd of pro-government demonstrators. Both sides appeared more animated in front of the unusual contingent of foreign journalists, many in town for the first visit by a U.S. president in 88 years. The Ladies marched toward the much larger pro-government crowd, which was shouting: “These streets belong to Fidel,” referring to retired leader Fidel Castro. When the two groups met at an intersection, the Ladies tossed leaflets into the air and sat down, at which point police seized them and wrestled them into buses. Most allowed themselves to be taken away but others went kicking and screaming. As the detainees were driven away, the counter-demonstrators banged on the windows. Some Ladies flashed back the L sign for “Liberty,” formed by a thumb and forefinger. The dissidents are usually released after a few hours.   Such short-term detentions have increased in recent months, according to the dissident Cuban Commission of Human Rights and National Reconciliation, which has reported 1,000 a month since October, up from a previous monthly average of more than 700. Obama will meet dissidents at the U.S. Embassy on Tuesday, heightening tensions between two governments that only restored diplomatic relations last year after a 54-year break. The leader of the Ladies in White, Berta Soler, has been invited to meet Obama. She was among those detained on Sunday.  In a letter dated March 10, Obama promised the Ladies he would raise the issues of freedom of speech and assembly with Cuban President Raul Castro.  The Cuban government dismisses dissidents as mercenaries seeking to destabilize the country. Many dissidents are funded by U.S. interests, which the Cuban government uses to discredit them. Dissidents say they have no choice but to take foreign money since their careers are derailed once they become opponents. Cuba defends its universal healthcare and education as human rights and criticizes the U.S. record on race relations and the Guantanamo Bay military prison."
